file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_4_1_1_3_2_0.json,3,115.2000,1.0453,0.0397,0.3472,1.0000,6.0122,3.1507,
fcma_prob_50_15_1_0.json,1,34.7520,1.0028,0.6589,1.0647,1.0000,2.4386,2.6886,
fcma_prob_50_15_1_0.json,2,34.7520,1.0028,0.1376,0.3656,1.0000,1.4425,1.7626,
fcma_prob_50_15_1_0.json,3,34.7520,1.0028,0.0257,0.1623,1.0000,1.3883,1.4379,
fcma_prob_51_15_1_0.json,1,3.9360,1.0000,0.3796,0.5688,1.0000,1.3914,1.7257,
fcma_prob_51_15_1_0.json,2,3.9360,1.0000,0.1910,0.3441,1.0000,1.9432,2.1344,
fcma_prob_51_15_1_0.json,3,3.9360,1.0000,0.0448,0.1968,1.0000,2.3190,2.3713,
fcma_prob_52_15_1_3_2_0.json,1,1674.4320,1.0173,0.6213,4.4265,1.0000,2.1596,1.2610,
fcma_prob_52_15_1_3_2_0.json,2,1674.4320,1.0173,0.1099,4.0607,1.0000,1.2019,1.0592,
fcma_prob_52_15_1_3_2_0.json,3,1674.4320,1.0173,0.0157,3.5858,1.0000,1.2245,1.0692,
fcma_prob_53_15_1_3_2_0.json,1,102.9120,1.0171,0.3441,0.6574,1.0000,1.2624,1.2776,
fcma_prob_53_15_1_3_2_0.json,2,102.5280,1.0133,0.1094,0.3577,1.0000,1.2033,1.2717,
fcma_prob_53_15_1_3_2_0.json,3,102.7200,1.0152,0.0141,0.2287,1.0000,1.0751,1.1604,
fcma_prob_54_15_1_3_8_0.json,1,1053.5800,1.1224,0.2974,15.8161,1.0000,1.1542,1.4442,
fcma_prob_54_15_1_3_8_0.json,2,1047.7440,1.1162,0.1000,9.4629,1.0000,0.9732,1.1173,
fcma_prob_54_15_1_3_8_0.json,3,1047.7440,1.1162,0.0141,8.7196,1.0000,0.9971,1.0712,
fcma_prob_55_15_1_3_8_0.json,1,52.8960,1.1384,0.2999,0.7774,1.0000,1.1623,1.2082,
fcma_prob_55_15_1_3_8_0.json,2,53.0880,1.1426,0.1057,0.5251,1.0000,1.2522,1.2279,
fcma_prob_55_15_1_3_8_0.json,3,53.0880,1.1426,0.0118,0.2857,1.0000,0.8409,1.0446,
fcma_prob_56_15_4_0.json,1,4.9149,1.0000,1.0899,1.2257,1.0000,1.0646,1.1182,
fcma_prob_56_15_4_0.json,2,5.0102,1.0194,0.4074,0.5242,1.0000,1.1120,1.1283,
fcma_prob_56_15_4_0.json,3,5.1014,1.0379,0.0645,0.1482,1.0000,1.7727,1.4219,
fcma_prob_57_15_4_0.json,1,0.5582,1.0000,1.2023,1.2659,1.0001,1.1363,1.1467,
fcma_prob_57_15_4_0.json,2,0.7596,1.3606,0.4106,0.4581,0.9999,1.1581,1.1527,
fcma_prob_57_15_4_0.json,3,0.7596,1.3606,0.0315,0.0785,0.9999,0.8954,1.0439,
fcma_prob_58_15_4_0.json,1,10.2593,1.0000,1.0997,1.2111,1.0000,1.1403,1.1553,
fcma_prob_58_15_4_0.json,2,10.3553,1.0094,0.3943,0.6137,1.0000,1.1008,1.1816,
fcma_prob_58_15_4_0.json,3,10.3553,1.0094,0.0810,0.1776,1.0000,2.3203,1.7289,
fcma_prob_59_15_4_0.json,1,0.5046,1.0933,1.1771,1.2979,1.0000,1.0746,1.0573,
fcma_prob_59_15_4_0.json,2,0.5718,1.2389,0.3934,0.4554,1.0000,1.1550,1.1291,
