file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_59_15_4_0.json,2,0.5718,1.2389,0.3406,0.4033,1.0,1.0,
fcma_prob_59_15_4_0.json,3,0.6034,1.3074,0.0367,0.1109,1.0,1.0,
fcma_prob_5_1_1_3_2_0.json,1,11.1360,1.0357,0.1996,0.2564,1.0,1.0,
fcma_prob_5_1_1_3_2_0.json,2,11.1360,1.0357,0.1089,0.1427,1.0,1.0,
fcma_prob_5_1_1_3_2_0.json,3,11.1360,1.0357,0.0071,0.0357,1.0,1.0,
fcma_prob_60_15_4_3_2_0.json,1,155.4784,1.0307,0.8764,1.2292,1.0,1.0,
fcma_prob_60_15_4_3_2_0.json,2,155.6922,1.0321,0.3800,0.7427,1.0,1.0,
fcma_prob_60_15_4_3_2_0.json,3,155.6922,1.0321,0.0410,0.3388,1.0,1.0,
fcma_prob_61_15_4_3_2_0.json,1,11.7908,1.0254,3.6737,3.7478,1.0,1.0,
fcma_prob_61_15_4_3_2_0.json,2,12.8696,1.1192,0.2789,0.4087,1.0,1.0,
fcma_prob_61_15_4_3_2_0.json,3,12.8696,1.1192,0.0279,0.0873,1.0,1.0,
fcma_prob_62_15_4_3_8_0.json,1,320.7246,1.1412,0.7523,2.7076,1.0,1.0,
fcma_prob_62_15_4_3_8_0.json,2,321.1642,1.1428,0.4012,2.1739,1.0,1.0,
fcma_prob_62_15_4_3_8_0.json,3,321.8535,1.1452,0.0351,1.6327,1.0,1.0,
fcma_prob_63_15_4_3_8_0.json,1,13.1984,1.2194,1.9366,2.2025,1.0,1.0,
fcma_prob_63_15_4_3_8_0.json,2,15.2096,1.4052,0.3729,0.5493,1.0,1.0,
fcma_prob_63_15_4_3_8_0.json,3,15.2096,1.4052,0.0342,0.1166,1.0,1.0,
fcma_prob_64_30_1_0.json,1,130.5600,1.0007,0.3884,0.8371,1.0,1.0,
fcma_prob_64_30_1_0.json,2,130.5600,1.0007,0.1398,0.5167,1.0,1.0,
fcma_prob_64_30_1_0.json,3,130.5600,1.0007,0.0285,0.4339,1.0,1.0,
